Cb,L,B,T,GMT,Wt,Disp,Excess
[0.31004762],[37.92060478],[3.0609215],[4.30414343],[-0.01768675],[156.30942226],[154.89685167],[-1.41257059]
[0.4623691],[31.60090578],[5.50114462],[4.60216274],[0.02553871],[168.62656951],[369.91621721],[201.28964771]
[0.40183784],[48.52789144],[7.41579691],[4.87345222],[0.7657993],[281.82261708],[704.75276461],[422.93014752]
[0.50967498],[39.94986743],[11.63570705],[2.78296335],[4.59131701],[280.64456886],[659.33923816],[378.69466929]
[0.45309157],[27.56782293],[6.69361675],[4.06145546],[0.63669772],[164.63209365],[339.57131242],[174.93921877]
[0.58593616],[31.67902528],[9.98435883],[2.74251488],[2.92369119],[206.26775459],[508.26626757],[301.99851298]
[0.527462],[32.51843726],[7.0097558],[4.03989446],[0.51904533],[187.17864198],[485.72868424],[298.55004226]
[0.39723198],[47.03378558],[6.35645021],[2.01620865],[2.22730753],[215.33281742],[239.44416898],[24.11135156]
[0.40632694],[33.49752306],[5.16075816],[3.5251449],[0.46477509],[165.01931617],[247.61605134],[82.59673518]
[0.50786349],[42.46289077],[6.93673166],[2.12051737],[2.00717862],[206.69348431],[317.2146803],[110.52119599]
[0.31859388],[45.91106252],[3.98456328],[3.2901802],[0.42624523],[188.04136043],[191.75874511],[3.71738469]
[0.55234657],[45.12543759],[10.65807855],[2.65872438],[3.73061147],[294.57823235],[706.29368268],[411.71545033]
[0.31446233],[33.99698057],[8.78841786],[4.07988557],[2.4536042],[218.47963336],[383.32544817],[164.84581481]
[0.43823741],[44.18954317],[5.10341639],[3.57284844],[0.32945369],[201.75879776],[353.10555941],[151.34676164]
[0.37684506],[42.41738737],[5.41684386],[4.04591366],[0.46697205],[203.68205626],[350.32382195],[146.64176569]
[0.33976466],[45.76179721],[9.29177963],[2.7876705],[4.0319092],[274.04643875],[402.73707977],[128.69064103]
[0.4813415],[27.62546299],[8.3600389],[3.15404224],[1.89050189],[174.68399442],[350.62160643],[175.93761201]
[0.44836267],[41.21569371],[6.24378806],[4.33787291],[0.38077072],[215.11064125],[500.51493189],[285.40429064]
[0.38370112],[28.5069819],[8.25489796],[4.43987604],[1.42148318],[187.882165],[400.89151511],[213.00935011]
[0.36497925],[43.4198244],[5.14117107],[4.39072632],[0.3133644],[205.42822807],[357.72942541],[152.30119734]
[0.53405775],[29.16381181],[8.94914655],[2.91740888],[2.24815523],[184.879547],[406.64124956],[221.76170256]
[0.421669],[49.05980807],[7.39179143],[3.80242984],[1.1864589],[270.51003392],[581.44471688],[310.93468296]
[0.51739246],[28.1021279],[11.55024823],[3.90688953],[2.84111886],[220.26750139],[656.1177005],[435.85019911]
[0.32986142],[28.72238057],[6.18089735],[4.02301453],[0.98389842],[163.15583183],[235.58904227],[72.43321044]
[0.48805993],[46.20992996],[7.76086671],[4.53992897],[0.67987581],[272.52334338],[794.6351039],[522.11176052]
[0.40354189],[30.51432684],[8.85012369],[2.5907079],[3.36677459],[185.94018941],[282.33206452],[96.39187511]
[0.5401111],[43.11730032],[3.72868191],[4.11888891],[-0.41426937],[179.91870046],[357.65975562],[177.74105515]
[0.56211795],[49.59137078],[6.11316479],[3.70361184],[0.2824013],[244.76034035],[631.1391717],[386.37883136]
[0.40461275],[42.64298034],[4.38013664],[2.84640487],[0.45788107],[179.96973104],[215.11537223],[35.14564119]
[0.5717487],[40.23498344],[3.11269447],[4.00806172],[-0.5419411],[162.34108529],[286.99868541],[124.65760011]
[0.50337742],[42.33507685],[3.89393175],[4.48508538],[-0.40489917],[181.62033161],[372.18008821],[190.5597566]
[0.39360622],[37.30179597],[8.5378774],[2.49323896],[3.33373159],[211.56870549],[312.53993113],[100.97122564]
[0.58196733],[30.16647087],[5.62574473],[2.62126741],[0.64025821],[153.827479],[258.8895142],[105.06203519]
[0.45578929],[49.63180331],[8.69765164],[2.42761221],[3.13390142],[277.52527892],[477.64528395],[200.12000503]
[0.31957674],[46.84301392],[4.53226264],[2.76399212],[0.84647544],[195.51681092],[187.53047652],[-7.9863344]
[0.43459534],[33.69785664],[6.67038379],[3.24856766],[1.1294989],[181.18702304],[317.34384982],[136.15682678]
[0.37164385],[27.37596734],[11.76053652],[2.77032037],[6.1709118],[203.28648071],[331.47712089],[128.19064018]
[0.54577643],[38.51371298],[6.68068667],[2.24145921],[1.57115534],[189.32994437],[314.76186234],[125.43191797]
