Cb,L,B,T,GMT,Wt,Disp,Excess
[0.44814435],[37.07907868],[10.54975482],[2.08671682],[5.75219511],[345.84612595],[365.80761158],[19.96148563]
[0.48524954],[33.54641811],[4.59903479],[3.47104683],[0.09187257],[274.8784981],[259.85941316],[-15.01908494]
[0.55074881],[43.26935337],[3.33729313],[2.10096623],[0.13365158],[185.01661278],[167.08882267],[-17.92779011]
[0.44520725],[36.05581241],[5.40434581],[3.98015757],[0.25564382],[335.17636618],[345.28754114],[10.11117496]
[0.35046526],[28.17888556],[5.4535996],[3.12965204],[0.9708981],[184.84020822],[168.55750597],[-16.28270225]
[0.41096521],[37.68609393],[7.89010205],[4.02622857],[1.33869476],[475.40479626],[492.00241411],[16.59761785]
[0.45116647],[43.2511695],[3.76972542],[2.46218976],[0.28657347],[197.41755738],[181.11979141],[-16.29776597]
[0.31432941],[37.65610573],[5.54747709],[3.06134238],[1.23029286],[206.4112238],[201.01470906],[-5.39651473]
[0.37237581],[34.48703013],[6.17349998],[2.78421286],[1.46083057],[202.71975516],[220.73497316],[18.015218]
[0.34534697],[35.13848188],[7.67105536],[2.35575808],[3.19224604],[217.79406079],[219.29284211],[1.49878132]
[0.34773842],[43.04179583],[6.04618743],[2.66381111],[1.60526933],[227.42761957],[241.06163186],[13.63401229]
[0.44792249],[38.88036248],[6.91240712],[4.55882138],[0.51951082],[506.55592468],[548.80121044],[42.24528576]
[0.34365779],[27.31983622],[11.38273462],[2.4894069],[6.9192282],[248.5284558],[266.03990737],[17.51145156]
[0.37882929],[26.15504172],[6.82442753],[2.50600838],[2.08879921],[186.46423822],[169.45239421],[-17.011844]
[0.44693577],[40.66499988],[10.09555049],[4.83338406],[1.69010373],[911.80626962],[886.843937],[-24.96233261]
[0.49529717],[34.60870426],[5.26580981],[3.73374034],[0.16732272],[333.63147084],[337.02371699],[3.39224615]
[0.31497591],[40.90680615],[4.63868568],[3.59379688],[0.58512322],[208.8116967],[214.79362106],[5.98192436]
[0.40032239],[36.26205451],[8.78226866],[2.11886262],[4.21020857],[278.94845429],[270.12936723],[-8.81908706]
[0.43394297],[38.67912887],[9.91579021],[2.00077125],[5.42669296],[310.21289563],[332.99223334],[22.77933771]
[0.5267368],[28.87181302],[4.47688001],[2.49253849],[0.37631637],[183.19620577],[169.70125165],[-13.49495412]
[0.33362079],[40.5916783],[4.74627331],[2.84603388],[0.85053132],[200.36292384],[182.92915526],[-17.43376858]
[0.4949803],[32.83565512],[6.90554469],[2.44730653],[1.66302868],[293.12313864],[274.67548959],[-18.44764905]
[0.55806558],[35.32588757],[3.52354485],[2.34188485],[0.07853553],[174.96594765],[162.67606662],[-12.28988103]
[0.41990285],[43.87574614],[11.8667829],[4.76339462],[2.87110107],[960.75473781],[1041.41275224],[80.65801442]
[0.43443376],[39.46274602],[11.33461736],[4.4768797],[2.69768607],[959.29464833],[869.94772068],[-89.34692764]
[0.55767311],[32.07589641],[4.58296756],[2.54435656],[0.33134708],[192.52301022],[208.58509156],[16.06208135]
[0.4050052],[36.50231922],[9.79818597],[2.60717332],[4.15727681],[370.376292],[377.65621542],[7.27992342]
[0.32952212],[42.00734273],[8.60235963],[2.01932169],[5.02414131],[250.26479536],[240.45449028],[-9.81030508]
[0.58965637],[25.31029605],[11.09804248],[4.64446074],[1.59359348],[762.99227146],[769.26840447],[6.27613302]
[0.57771749],[25.7109132],[10.87281689],[4.50107076],[1.64693321],[686.84673547],[726.92721557],[40.08048009]
[0.35831092],[30.85288235],[6.98913034],[2.43956494],[2.41326697],[197.92312637],[188.49130209],[-9.43182428]
[0.48815175],[35.021521],[10.27862892],[2.5404506],[4.04311397],[454.29803126],[446.41193054],[-7.88610072]
[0.42082222],[36.99062586],[7.38785857],[2.83617836],[1.90004033],[307.97698043],[326.16882971],[18.19184928]
[0.47462497],[37.76571297],[11.15885728],[3.33406978],[3.55262055],[677.46107246],[666.87230312],[-10.58876934]
[0.40136112],[34.65980456],[6.32063458],[4.19903959],[0.63615578],[390.02355048],[369.20881129],[-20.81473919]
[0.35873859],[27.10651982],[8.13984112],[2.43118601],[3.3747996],[201.12674003],[192.43584579],[-8.69089424]
[0.35011678],[49.01103098],[5.8409835],[2.30142871],[1.77856764],[240.15055419],[230.66954802],[-9.48100618]
[0.42677641],[35.72689222],[6.92516552],[4.48794769],[0.63575034],[514.11362906],[473.88568528],[-40.22794378]
[0.45920278],[33.29429316],[4.48024685],[3.2140606],[0.20909609],[241.52053915],[220.15589075],[-21.3646484]
[0.34062184],[35.0251764],[7.69165577],[2.43434157],[3.13261872],[219.35186741],[223.38509],[4.0332226]
[0.32911161],[26.39900446],[5.89245403],[3.7691669],[0.9703307],[197.02204463],[192.96223466],[-4.05980997]
[0.5342223],[41.36844047],[4.50899364],[2.13111057],[0.57909764],[198.22731923],[212.36198245],[14.13466322]
[0.44093646],[37.73567716],[8.5416359],[4.49915314],[1.21364648],[677.63238385],[639.4402741],[-38.19210975]
[0.3314929],[36.60361677],[8.62488374],[2.00892517],[5.05347209],[227.05994033],[210.23994808],[-16.81999225]
[0.42227273],[38.93139596],[11.78149743],[3.66785681],[3.98195893],[718.63480348],[710.40477872],[-8.23002476]
[0.34247931],[31.90156539],[4.34197014],[3.98861431],[0.26387082],[188.00026062],[189.2148478],[1.21458718]
[0.47638543],[36.88348751],[5.42279177],[3.23952532],[0.4741736],[283.22804405],[308.67023842],[25.44219438]
[0.31292514],[33.2800112],[5.09364324],[3.67688121],[0.74505453],[196.46944234],[195.04375069],[-1.42569165]
[0.37374507],[31.27803807],[6.90822827],[2.67833911],[2.00014422],[204.88805467],[216.29536811],[11.40731345]
[0.38732621],[26.15367716],[4.47139259],[4.35222309],[0.05621233],[190.73875231],[197.13493861],[6.3961863]
[0.43729388],[42.43353289],[5.34761648],[2.57375415],[0.91645084],[232.87986663],[255.39354001],[22.51367338]
[0.50725965],[41.56065755],[4.94718799],[2.09133384],[0.86583706],[203.7993168],[218.11950838],[14.32019158]
[0.35959615],[39.04385825],[9.0816187],[2.152379],[4.86907331],[250.27051638],[274.44148907],[24.17097269]
[0.33642443],[41.82676275],[9.4140131],[2.10836716],[5.68036439],[266.3418172],[279.29477806],[12.95296085]
[0.39848831],[33.51996556],[8.38685696],[2.07135976],[3.93131089],[217.74458736],[232.04591199],[14.30132463]
[0.39444117],[29.97293907],[3.91554844],[3.57948434],[0.09063724],[175.68807927],[165.70081124],[-9.98726803]
[0.40038868],[45.60522871],[4.64065631],[2.90381264],[0.54558694],[228.25932919],[246.06192928],[17.80260009]
[0.33036355],[34.90580811],[5.80824476],[3.04038565],[1.29729697],[200.8002268],[203.64014567],[2.83991887]
[0.58759596],[25.10190252],[6.1502956],[2.02900028],[1.37195408],[195.41239579],[184.06174633],[-11.35064946]
[0.46749436],[42.10301549],[11.84601096],[4.46693419],[2.77320329],[1037.06421237],[1041.528741],[4.46452863]
[0.36088278],[49.72946958],[7.5072004],[2.22428037],[3.12408391],[274.3581903],[299.67293589],[25.31474559]
[0.47862817],[46.72245148],[3.47060562],[2.37198658],[0.17239705],[200.17669188],[184.09473647],[-16.0819554]
[0.38501634],[33.95202991],[6.33291623],[2.53001649],[1.70473811],[201.38200416],[209.4459659],[8.06396174]
[0.51343907],[25.4712285],[7.71749545],[2.59493507],[1.93076842],[248.26234432],[261.90372796],[13.64138363]
[0.39804045],[29.61725538],[7.39291223],[2.37088618],[2.55066087],[201.15518686],[206.63232977],[5.47714291]
[0.51471908],[25.49496782],[7.21499467],[3.00329666],[1.27294665],[264.47184698],[284.35376283],[19.88191584]
[0.40823804],[35.91407721],[11.73905954],[3.16316217],[4.87360737],[597.3325846],[544.41858929],[-52.91399531]
[0.41558401],[49.67629993],[4.52487149],[2.41437337],[0.69402269],[226.84508514],[225.53749175],[-1.30759339]
[0.33084129],[27.22939618],[6.22607822],[4.20691133],[0.92202386],[217.66761456],[235.95850926],[18.2908947]
[0.38547651],[27.20230845],[6.95100335],[2.52068891],[2.1227287],[191.13968501],[183.72591784],[-7.41376717]
[0.43961572],[34.92867754],[9.27018409],[2.72678823],[3.23647816],[388.74840898],[388.14600754],[-0.60240143]
[0.38451257],[28.52961158],[4.38584693],[3.50946013],[0.27759119],[179.08238097],[168.84965804],[-10.23272293]
[0.49147444],[41.24088698],[10.46137882],[4.08982266],[2.18159291],[805.79574986],[867.20613245],[61.41038259]
[0.56237544],[28.58661087],[5.14399405],[2.25347485],[0.71965983],[190.05551332],[186.35548789],[-3.70002543]
[0.32062745],[41.44511395],[8.44445163],[2.26273634],[4.37887945],[251.51213282],[253.90978978],[2.39765696]
[0.46240349],[35.20445684],[9.64136379],[3.15993198],[2.78665812],[531.18590048],[495.94664259],[-35.23925789]
[0.48094695],[41.28402486],[3.77533062],[2.36607501],[0.27181457],[193.37162501],[177.3628687],[-16.00875631]
[0.35239178],[42.93459511],[7.32612686],[2.42064943],[2.74635145],[244.31067838],[268.31161348],[24.0009351]
[0.41495493],[37.46907606],[8.20583313],[4.69291369],[1.09647316],[640.25536009],[598.74122261],[-41.51413747]
[0.57338194],[32.54548286],[4.93486522],[2.15561355],[0.67362499],[188.62011892],[198.50933197],[9.88921304]
[0.4181173],[34.35420923],[3.96563079],[3.59509588],[0.03860896],[223.44207001],[204.78627713],[-18.65579288]
[0.35821988],[33.80636006],[6.52754956],[2.48036685],[2.03003308],[201.05990809],[196.0713747],[-4.98853339]
[0.46618786],[34.42782644],[6.46024345],[2.51257845],[1.44769674],[262.43892297],[260.51880515],[-1.92011782]
[0.31936403],[30.37086182],[7.24888246],[3.18473987],[2.13125653],[214.74220514],[223.91755158],[9.17534644]
[0.54599919],[30.7888834],[5.03689986],[2.58631556],[0.49966098],[200.33320956],[218.99327029],[18.66006073]
[0.4277529],[39.94910265],[4.47388765],[2.4972996],[0.59435129],[204.48860023],[190.92188206],[-13.56671817]
[0.41364802],[34.46865582],[9.93101352],[2.83662005],[3.80260504],[422.74450019],[401.65209204],[-21.09240815]
[0.38471235],[49.32772035],[3.9904567],[2.75579964],[0.40414087],[216.08179006],[208.68797282],[-7.39381724]
[0.41735811],[35.5524844],[5.50944553],[2.63923898],[1.0196038],[230.2936628],[215.7572616],[-14.53640121]
[0.38304848],[25.55609608],[6.77225182],[3.03560925],[1.56056398],[198.69668121],[201.24598172],[2.54930052]
[0.41905875],[33.15275423],[8.9101617],[2.48775242],[3.46439777],[340.33207757],[307.95500858],[-32.37706899]
[0.45438113],[34.20927476],[10.61701096],[2.5760723],[4.53793215],[446.00731719],[425.13265668],[-20.8746605]
[0.40179719],[37.819809],[6.8776305],[3.93545612],[0.97519455],[382.60021624],[411.30135105],[28.7011348]
[0.31275604],[34.32343592],[10.85567689],[2.37666819],[7.14039806],[257.50439171],[276.96310901],[19.45871729]
[0.32524667],[32.35577398],[6.77051902],[2.96573889],[1.95704641],[208.36764705],[211.30974479],[2.94209774]
[0.38282611],[27.96378886],[4.2868994],[3.59705382],[0.22509148],[177.96122716],[165.07746645],[-12.88376071]
[0.38069075],[29.02508612],[11.53098907],[2.04902054],[8.03876276],[242.00520004],[261.07104918],[19.06584914]
[0.36465965],[37.82424228],[6.96979675],[2.31596816],[2.50961254],[217.08414763],[222.64381917],[5.55967154]
[0.45149856],[38.81261046],[9.90634687],[3.35268004],[2.80957647],[534.47030586],[582.01591658],[47.54561071]
[0.45120256],[36.60915857],[5.75617124],[2.11948121],[1.45263104],[216.35893427],[201.52297888],[-14.83595539]
[0.42228718],[37.3786431],[6.86517683],[4.78265791],[0.51544908],[525.50797534],[518.26570955],[-7.24226579]
[0.33131128],[39.20004189],[3.8088694],[4.0988317],[0.12644071],[195.9721982],[202.75842913],[6.78623093]
[0.33283329],[47.79030372],[3.90749294],[3.54186393],[0.28140051],[217.60094747],[220.13881693],[2.53786946]
[0.37981518],[33.71044717],[10.24916604],[2.00052817],[6.47692251],[241.04121781],[262.52461656],[21.48339875]
[0.483905],[39.60340471],[9.24241615],[4.26075318],[1.47196256],[737.18432559],[754.68293254],[17.49860695]
[0.4127745],[48.01362691],[4.0031096],[2.75819968],[0.33526262],[218.34988743],[218.82682215],[0.47693473]
[0.5835407],[30.61235109],[4.44069388],[2.47874459],[0.27129841],[188.43117546],[196.63030428],[8.19912881]
[0.35353285],[26.06572501],[11.74590606],[2.3374833],[7.71137891],[241.11320508],[253.00821265],[11.89500756]
