Cb,L,B,T,GMT,Wt,Disp,Excess
[0.49743844],[39.80405508],[8.12125238],[4.8691538],[0.62005114],[782.7486332],[782.96645976],[0.21782656]
[0.48607958],[45.34689051],[4.15612934],[3.26715381],[0.0364729],[236.19632131],[299.30469215],[63.10837083]
[0.58870357],[37.52074871],[7.2120696],[2.85485296],[1.16446338],[277.36443075],[454.79095814],[177.4265274]
[0.32403862],[41.49553871],[8.10875299],[3.76432387],[2.18497238],[286.76414647],[410.43013417],[123.66598771]
[0.49049392],[49.75258097],[6.19083835],[3.11545096],[0.80215408],[313.21578545],[470.67337049],[157.45758504]
[0.55635766],[37.96948724],[8.81091207],[4.20823685],[1.02419356],[424.87189962],[783.26703265],[358.39513303]
[0.45022547],[48.1980103],[9.66901617],[4.0241439],[2.03431532],[593.76056249],[844.33532597],[250.57476348]
[0.45343625],[43.32718562],[11.70408664],[4.20334606],[3.04387477],[855.65261552],[966.51676605],[110.86415052]
[0.51436716],[40.79597705],[3.50110585],[3.0653691],[-0.11783666],[196.14912839],[225.20528786],[29.05615947]
[0.50093264],[37.53019969],[7.67879205],[3.68871078],[1.06303831],[321.56282981],[532.50993733],[210.94710752]
[0.43794691],[33.66059332],[5.45031184],[2.65988381],[0.9086626],[235.21180649],[213.71118444],[-21.50062205]
[0.41606048],[44.5421363],[9.65557079],[4.58603383],[1.82087861],[654.80974207],[820.62115577],[165.8114137]
[0.48517247],[49.46377097],[6.98251421],[4.38494121],[0.48455714],[465.47949423],[734.78279165],[269.30329741]
[0.52890217],[31.56356439],[3.07029018],[2.69194797],[-0.12522747],[166.38724957],[137.97724689],[-28.41000268]
[0.51345997],[41.06871024],[11.73405434],[4.11888569],[2.75309288],[528.32566084],[1019.16731709],[490.84165625]
[0.43374052],[36.40291906],[5.98225664],[3.89493738],[0.51761617],[354.47906521],[367.90163893],[13.42257372]
[0.58223606],[45.89548736],[5.99024746],[3.35417713],[0.3635118],[284.97019445],[536.9079633],[251.93776884]
[0.47985713],[34.22438348],[3.81322399],[3.50372368],[-0.11186384],[229.69797069],[219.41673663],[-10.28123405]
[0.48496703],[43.42520003],[7.40582323],[4.57306411],[0.54886576],[547.01974667],[713.23832578],[166.21857911]
[0.42486064],[33.22130635],[5.55072368],[4.95859334],[0.05150377],[483.75279452],[388.48236199],[-95.27043253]
[0.38591621],[43.36341385],[9.74103856],[2.63330612],[4.23704741],[302.31575178],[429.2626452],[126.94689342]
[0.32348352],[35.42704591],[11.61025619],[3.9031668],[4.63689255],[344.68498791],[519.33310747],[174.64811956]
[0.42753909],[28.3603494],[3.19587621],[3.03890588],[-0.02649369],[185.99165989],[117.75913364],[-68.23252625]
